pdb,reactivity,0,pdbid,biological_unit,unit
6EOQ,High,reduced_6eoq.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6EOQ,DIMERIC,DIMERIC
6EOQ,High,reduced_6eoq.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6EOQ,DIMERIC,DIMERIC
5LP8,High,reduced_5lp8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5LP8,DIMERIC,DIMERIC
3G1N,High,reduced_3g1n.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3G1N,MONOMERIC,MONOMERIC
4A0C,High,reduced_4a0c.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,4A0C,TRIMERIC,MULTIMERIC
3G1N,High,reduced_3g1n.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3G1N,MONOMERIC,MONOMERIC
5JLH,High,reduced_5jlh.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: UNDECAMERIC,5JLH,UNDECAMERIC,MULTIMERIC
5I4E,High,reduced_5i4e.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5I4E,MONOMERIC,MONOMERIC
5ANB,High,reduced_5anb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DODECAMERIC,5ANB,DODECAMERIC,MULTIMERIC
6R7F,High,reduced_6r7f.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRADECAMERIC,6R7F,TETRADECAMERIC,MULTIMERIC
6R6H,High,reduced_6r6h.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIDECAMERIC,6R6H,TRIDECAMERIC,MULTIMERIC
4D10,High,reduced_4d10.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: OCTAMERIC,4D10,OCTAMERIC,MULTIMERIC
6DCB,High,reduced_6dcb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6DCB,DIMERIC,DIMERIC
5UNA,High,,,,NA
3P53,High,reduced_3p53.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3P53,MONOMERIC,MONOMERIC
3P53,High,reduced_3p53.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3P53,MONOMERIC,MONOMERIC
6B0T,High,reduced_6b0t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6B0T,MONOMERIC,MONOMERIC
6B0T,High,reduced_6b0t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6B0T,MONOMERIC,MONOMERIC
6B0T,High,reduced_6b0t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6B0T,MONOMERIC,MONOMERIC
4DMB,High,reduced_4dmb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4DMB,DIMERIC,DIMERIC
3BIN,High,reduced_3bin.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3BIN,MONOMERIC,MONOMERIC
3K35,High,reduced_3k35.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3K35,MONOMERIC,MONOMERIC
5ICN,High,,,,NA
5O6T,High,reduced_5o6t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5O6T,DIMERIC,DIMERIC
5O6T,High,reduced_5o6t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5O6T,DIMERIC,DIMERIC
3NEY,High,,,,NA
5FWI,High,,,,NA
4M5X,High,reduced_4m5x.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4M5X,MONOMERIC,MONOMERIC
4M5X,High,reduced_4m5x.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4M5X,MONOMERIC,MONOMERIC
1PL8,High,reduced_1pl8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,1PL8,TETRAMERIC,MULTIMERIC
1PL8,High,reduced_1pl8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1PL8,DIMERIC,DIMERIC
2F1Z,High,reduced_2f1z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2F1Z,MONOMERIC,MONOMERIC
1B56,High,reduced_1b56.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1B56,MONOMERIC,MONOMERIC
4AZR,High,reduced_4azr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4AZR,DIMERIC,DIMERIC
4LKP,High,reduced_4lkp.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4LKP,MONOMERIC,MONOMERIC
5HZ5,High,reduced_5hz5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5HZ5,MONOMERIC,MONOMERIC
2F1Z,High,reduced_2f1z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2F1Z,MONOMERIC,MONOMERIC
1JFI,High,reduced_1jfi.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: PENTAMERIC,1JFI,PENTAMERIC,MULTIMERIC
4U1R,High,,,,NA
6EJ5,High,reduced_6ej5.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6EJ5,MONOMERIC,MONOMERIC
2XZO,High,reduced_2xzo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2XZO,DIMERIC,DIMERIC
4XYJ,High,reduced_4xyj.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4XYJ,TETRAMERIC,MULTIMERIC
4XYJ,High,reduced_4xyj.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4XYJ,TETRAMERIC,MULTIMERIC
2GK6,High,reduced_2gk6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2GK6,MONOMERIC,MONOMERIC
2GK6,High,reduced_2gk6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2GK6,MONOMERIC,MONOMERIC
2WJY,High,reduced_2wjy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2WJY,MONOMERIC,MONOMERIC
2IYK,High,reduced_2iyk.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2IYK,MONOMERIC,MONOMERIC
2IYK,High,reduced_2iyk.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2IYK,MONOMERIC,MONOMERIC
5V89,High,reduced_5v89.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5V89,MONOMERIC,MONOMERIC
5V89,High,reduced_5v89.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5V89,MONOMERIC,MONOMERIC
4IC2,High,reduced_4ic2.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4IC2,DIMERIC,DIMERIC
2ECG,High,reduced_2ecg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2ECG,MONOMERIC,MONOMERIC
5Y3R,High,reduced_5y3r.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,5Y3R,HEXAMERIC,MULTIMERIC
5J7T,High,reduced_5j7t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5J7T,MONOMERIC,MONOMERIC
6VN4,High,reduced_6vn4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6VN4,MONOMERIC,MONOMERIC
6VN4,High,reduced_6vn4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6VN4,MONOMERIC,MONOMERIC
5WHC,High,reduced_5whc.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5WHC,MONOMERIC,MONOMERIC
5WHC,High,reduced_5whc.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5WHC,MONOMERIC,MONOMERIC
5VSB,High,reduced_5vsb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5VSB,DIMERIC,DIMERIC
5UQX,High,reduced_5uqx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5UQX,MONOMERIC,MONOMERIC
5UQX,High,reduced_5uqx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5UQX,MONOMERIC,MONOMERIC
5UQV,High,reduced_5uqv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5UQV,MONOMERIC,MONOMERIC
5UQV,High,reduced_5uqv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5UQV,MONOMERIC,MONOMERIC
5N9T,High,,,,NA
5N9R,High,reduced_5n9r.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5N9R,MONOMERIC,MONOMERIC
5N9R,High,reduced_5n9r.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5N9R,MONOMERIC,MONOMERIC
5JTV,High,reduced_5jtv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5JTV,DIMERIC,DIMERIC
5LC2,High,reduced_5lc2.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5LC2,MONOMERIC,MONOMERIC
5JTV,High,reduced_5jtv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5JTV,DIMERIC,DIMERIC
1NNL,High,reduced_1nnl.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1NNL,MONOMERIC,MONOMERIC
6HYY,High,reduced_6hyy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6HYY,MONOMERIC,MONOMERIC
6HYY,High,reduced_6hyy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6HYY,MONOMERIC,MONOMERIC
6Q6J,High,,,,NA
5JTV,High,reduced_5jtv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5JTV,DIMERIC,DIMERIC
3LFL,High,reduced_3lfl.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3LFL,DIMERIC,DIMERIC
5JTV,High,reduced_5jtv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5JTV,DIMERIC,DIMERIC
4YQU,High,reduced_4yqu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4YQU,DIMERIC,DIMERIC
5UEH,High,reduced_5ueh.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5UEH,DIMERIC,DIMERIC
5YVN,High,reduced_5yvn.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5YVN,DIMERIC,DIMERIC
6PNM,High,reduced_6pnm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6PNM,DIMERIC,DIMERIC
5JTJ,High,reduced_5jtj.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5JTJ,DIMERIC,DIMERIC
5LUQ,High,,,,NA
1NNL,High,reduced_1nnl.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1NNL,MONOMERIC,MONOMERIC
3ZG6,High,reduced_3zg6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3ZG6,DIMERIC,DIMERIC
5LC2,High,reduced_5lc2.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5LC2,MONOMERIC,MONOMERIC
4MFU,High,reduced_4mfu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4MFU,DIMERIC,DIMERIC
6LTH,High,reduced_6lth.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: OCTAMERIC,6LTH,OCTAMERIC,MULTIMERIC
2OQS,High,reduced_2oqs.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2OQS,DIMERIC,DIMERIC
3RL8,High,reduced_3rl8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,3RL8,HEXAMERIC,MULTIMERIC
4G69,High,reduced_4g69.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4G69,DIMERIC,DIMERIC
4WV4,High,reduced_4wv4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4WV4,DIMERIC,DIMERIC
5ZXD,High,reduced_5zxd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5ZXD,MONOMERIC,MONOMERIC
5ZXD,High,reduced_5zxd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5ZXD,MONOMERIC,MONOMERIC
4RH7,High,reduced_4rh7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4RH7,MONOMERIC,MONOMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
1ZSX,High,reduced_1zsx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,1ZSX,TETRAMERIC,MULTIMERIC
6K9K,High,reduced_6k9k.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6K9K,MONOMERIC,MONOMERIC
6K9L,High,reduced_6k9l.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6K9L,DIMERIC,DIMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
3M1D,High,reduced_3m1d.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3M1D,MONOMERIC,MONOMERIC
3M1D,High,reduced_3m1d.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3M1D,MONOMERIC,MONOMERIC
6E7B,High,reduced_6e7b.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6E7B,DIMERIC,DIMERIC
6S8L,High,reduced_6s8l.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6S8L,TRIMERIC,MULTIMERIC
3WGD,High,reduced_3wgd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3WGD,MONOMERIC,MONOMERIC
6HOY,High,reduced_6hoy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6HOY,MONOMERIC,MONOMERIC
6HOY,High,reduced_6hoy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6HOY,MONOMERIC,MONOMERIC
4BKX,High,reduced_4bkx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4BKX,TETRAMERIC,MULTIMERIC
3IHJ,High,reduced_3ihj.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3IHJ,MONOMERIC,MONOMERIC
6EKK,High,reduced_6ekk.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6EKK,DIMERIC,DIMERIC
6EKK,High,reduced_6ekk.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6EKK,DIMERIC,DIMERIC
5XAH,High,reduced_5xah.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5XAH,MONOMERIC,MONOMERIC
4HNM,High,reduced_4hnm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4HNM,MONOMERIC,MONOMERIC
4HM9,High,reduced_4hm9.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4HM9,MONOMERIC,MONOMERIC
4CB9,High,,,,NA
4CB8,High,,,,NA
6R4H,High,reduced_6r4h.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6R4H,DIMERIC,DIMERIC
5V3R,High,reduced_5v3r.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5V3R,DIMERIC,DIMERIC
3C3R,High,reduced_3c3r.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3C3R,DIMERIC,DIMERIC
6SVO,High,reduced_6svo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6SVO,DIMERIC,DIMERIC
3RPX,High,,,,NA
1N52,High,reduced_1n52.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1N52,DIMERIC,DIMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
4MFV,High,reduced_4mfv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4MFV,DIMERIC,DIMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
5OOB,High,reduced_5oob.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OOB,TRIMERIC,MULTIMERIC
5OOB,High,reduced_5oob.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OOB,TRIMERIC,MULTIMERIC
5OOB,High,reduced_5oob.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5OOB,DIMERIC,DIMERIC
5OOB,High,reduced_5oob.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OOB,TRIMERIC,MULTIMERIC
6D0Y,High,reduced_6d0y.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6D0Y,TRIMERIC,MULTIMERIC
6F9N,High,reduced_6f9n.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6F9N,DIMERIC,DIMERIC
5XAH,High,reduced_5xah.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5XAH,MONOMERIC,MONOMERIC
6FUW,High,reduced_6fuw.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,6FUW,TETRAMERIC,MULTIMERIC
5XAH,High,reduced_5xah.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5XAH,MONOMERIC,MONOMERIC
5XAH,High,reduced_5xah.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5XAH,MONOMERIC,MONOMERIC
5OO6,High,reduced_5oo6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5OO6,TRIMERIC,MULTIMERIC
3BIN,High,reduced_3bin.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3BIN,MONOMERIC,MONOMERIC
6H2U,High,reduced_6h2u.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6H2U,DIMERIC,DIMERIC
2CH0,High,reduced_2ch0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2CH0,MONOMERIC,MONOMERIC
3KJY,High,reduced_3kjy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3KJY,MONOMERIC,MONOMERIC
3KJY,High,reduced_3kjy.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3KJY,MONOMERIC,MONOMERIC
1SEN,High,reduced_1sen.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1SEN,MONOMERIC,MONOMERIC
2K8V,High,reduced_2k8v.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2K8V,MONOMERIC,MONOMERIC
1UMK,High,reduced_1umk.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1UMK,MONOMERIC,MONOMERIC
1K4Q,High,reduced_1k4q.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1K4Q,DIMERIC,DIMERIC
2AAQ,High,reduced_2aaq.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2AAQ,DIMERIC,DIMERIC
3DK9,High,reduced_3dk9.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3DK9,DIMERIC,DIMERIC
1HL4,High,reduced_1hl4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1HL4,DIMERIC,DIMERIC
1HL4,High,reduced_1hl4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1HL4,DIMERIC,DIMERIC
2C9V,High,reduced_2c9v.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2C9V,DIMERIC,DIMERIC
2MP3,High,reduced_2mp3.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2MP3,MONOMERIC,MONOMERIC
2NAM,High,reduced_2nam.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2NAM,MONOMERIC,MONOMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5K02,High,reduced_5k02.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5K02,DIMERIC,DIMERIC
5YTO,High,reduced_5yto.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5YTO,DIMERIC,DIMERIC
5YTO,High,reduced_5yto.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5YTO,DIMERIC,DIMERIC
5YTO,High,reduced_5yto.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5YTO,DIMERIC,DIMERIC
5YTO,High,reduced_5yto.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5YTO,DIMERIC,DIMERIC
7NFE,High,,,,NA
7SGL,High,,,,NA
7SU3,High,,,,NA
7NVL,High,reduced_7nvl.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: OCTADECAMERIC,7NVL,OCTADECAMERIC,MULTIMERIC
7QJ4,High,,,,NA
3FM0,High,reduced_3fm0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3FM0,MONOMERIC,MONOMERIC
